#num,x,y,spp,dbh01,dbh04,hgt,sprout
429,33.76606459,-6.972963607,bp,4.074366543,4.265352475,4.7,430
430,34.21745746,-7.328090235,bp,9.390141642,9.45380362,8.6,430
431,34.09602769,-6.939671431,bp,9.931268449,0,3.4,430
432,35.33540445,-8.600554268,pt,7.925916166,8.371550007,8.1,0
433,35.12221344,-6.189055468,pt,10.3450713,10.82253613,9.2,0
434,36.14043415,-1.98041451,bp,1.13,1.55,2.7,435
435,36.22493126,-1.830002693,bp,7.321127382,7.543944303,6.4,435
436,36.37628038,-1.936858173,bp,1.18,2.31,3.2,435
437,36.35769229,-1.857519139,bp,1.22,1.61,3.1,435
438,36.44344169,-2.049214316,bp,1.99,2.08,2.4,435
439,38.59997866,-2.296180153,lc,7.352958371,0,7.9,0
440,38.84947873,-3.968756281,bp,1.73,1.93,3,443
441,38.88785697,-4.114149349,bp,1.68,0,1.6,443
442,38.88133355,-4.135745113,bp,0.69,0,1.4,443
443,38.93552397,-4.024065698,bp,2.59,3.119436885,3.4,443
444,38.97726947,-4.016779943,bp,0.26,0,1,443
445,39.40833443,-8.731169098,pt,2.34,2.864788976,4.3,0
446,39.01488078,-2.201978448,bp,1.09,1.33,2,446
447,43.41154629,-9.422980136,bp,1.33,1.59,1.8,453
448,43.59888554,-9.391294074,bp,0.95,1.04,2,453
449,43.51117674,-9.412430523,bp,1.22,1.21,1.8,453
450,43.45223606,-9.649334649,bp,6.525352667,7.384789359,6.2,453
451,43.45586924,-9.830979797,bp,3.437746771,3.756056657,3.9,453
452,43.4823226,-9.56008035,bp,7.480282325,8.371550007,5.3,453
453,43.6244379,-9.663771062,bp,13.84648005,0,3.9,453
454,43.77933166,-9.715830625,bp,2.69,3.055774907,2.3,453
455,43.81871204,-9.706166122,bp,2.22,2.33,2.3,453
456,47.20744405,-0.392468145,lc,5.474930042,0,5.01,0
457,46.77414776,-3.459303009,bp,5.53859202,5.634084985,4.2,460
458,47.83126217,-2.566354656,bp,6.016056849,6.334366735,5.4,460
459,47.76110088,-2.754964745,bp,3.183098862,3.246760839,2.9,460
460,47.99550287,-2.519998265,bp,8.116902098,9.230986699,6.6,460
461,47.95645499,-2.692271123,bp,4.201690498,0,4.7,460
462,47.83845978,-2.650310151,bp,0.22,0.72,1.4,460
463,48.1868406,-2.477368158,bp,5.697746963,5.98422586,5.3,460
464,48.41546671,-2.606099432,bp,5.092958179,5.602253997,5.1,460
